origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,247.35,0
Algeria,18,177.27722222222224,2
Argentina,26,119.06384615384614,2
Armenia,2,113.185,0
Australia,28,85.98214285714286,13
Austria,139,171.11964028776978,13
Azerbaijan,2,131.32500000000002,1
Bahamas,1,142.56,0
Bahrain,13,188.74384615384616,0
Bangladesh,12,89.0175,7
Belarus,1,245.56,0
Belgium,48,192.3658333333333,1
Bolivia,1,251.34,0
Brazil,147,162.13476190476192,5
Bulgaria,28,217.90892857142856,1
Burkina Faso,1,106.7,0
Cambodia,2,223.8,0
Canada,469,142.6359188034188,56
Cape Verde,1,231.56,0
Chile,19,173.46736842105264,1
China,160,178.399125,16
Colombia,10,129.757,0
Croatia,13,181.77923076923076,0
Cyprus,3,175.47333333333336,0
Czech Republic,48,142.96255319148935,10
Denmark,34,185.32363636363638,1
Dominican Republic,7,204.0957142857143,0
Egypt,57,240.5480701754386,1
Estonia,3,182.98000000000002,0
Ethiopia,9,256.84777777777776,0
Finland,47,152.18255319148935,4
France,195,163.37010256410258,17
Georgia,7,158.82142857142858,2
Germany,371,156.35816711590294,22
Greece,45,158.72733333333332,6
Guatemala,16,69.9375,2
Hungary,65,177.79723076923077,8
Iceland,16,203.816875,0
India,192,186.76098958333333,14
Indonesia,8,187.03125,0
Iraq,3,181.06000000000003,0
Ireland,323,185.58715170278637,32
Israel,15,126.65466666666667,0
Italy,47,109.27170212765958,1
Japan,23,189.05565217391305,4
Jordan,17,204.04882352941175,1
Kenya,2,256.695,0
Kingdom of the Netherlands,127,201.02622047244097,5
Kuwait,18,239.55611111111114,0
Lao People's Democratic Republic,1,228.89,0
Latvia,34,173.37029411764706,4
Lebanon,3,197.61666666666667,0
Liberia,1,178.83,0
Libyan Arab Jamahiriya,3,212.09666666666666,0
Lithuania,13,149.38615384615383,3
Luxembourg,29,182.36172413793102,1
Malaysia,30,204.45766666666665,0
Malta,211,190.95123222748813,16
Marshall Islands,1,96.76,0
Mauritius,3,160.91666666666666,1
Mexico,107,173.37654205607478,9
Montenegro,2,200.995,0
Morocco,32,209.184375,1
Myanmar,2,110.24000000000001,0
Nepal,1,245.04,0
New Zealand,7,144.37714285714284,2
Norway,57,180.9182456140351,2
Oman,14,194.56642857142856,1
Pakistan,1,234.68,0
Panama,19,208.28052631578947,0
Philippines,20,166.1505,2
Poland,148,183.00885135135135,6
Portugal,76,161.0011842105263,11
Qatar,60,256.41766666666666,2
Republic of Korea,42,170.4197619047619,5
Republic of Moldova,6,240.365,0
Romania,29,172.66551724137932,1
Russian Federation,44,168.39795454545455,2
San Marino,5,143.442,1
Saudi Arabia,32,255.515,1
Senegal,1,170.81,0
Serbia,8,186.865,1
Singapore,32,197.9021875,1
Slovakia,6,116.925,1
Slovenia,3,106.50999999999999,0
South Africa,19,178.83473684210526,0
Spain,205,167.92248780487805,24
Sri Lanka,1,242.4,0
Sweden,100,192.4891,4
Switzerland,129,139.2251937984496,28
Syrian Arab Republic,1,238.83,0
Taiwan,30,183.83766666666668,4
Thailand,29,220.43379310344827,1
Trinidad and Tobago,1,236.38,0
Tunisia,14,211.00428571428571,0
Turkey,269,194.83133828996282,22
Turkmenistan,1,230.7,0
Ukraine,2,147.68,0
United Arab Emirates,160,219.7190625,3
United Kingdom,518,177.91137065637065,37
United States,6775,137.74927938570585,520
Uzbekistan,3,228.03666666666666,0
Venezuela,1,94.66,0
Viet Nam,16,217.64249999999998,0
Yemen,1,209.83,0
