icao24,origin_country,velocity,on_ground
39de4f,France,215.04,False
ab2972,United States,56.65,False
a3fef5,United States,57.14,False
801638,India,187.66,False
a1abec,United States,36.01,False
39de4a,France,237.78,False
aa9321,United States,214.21,False
39de4c,France,222.13,False
39de57,France,231.59,False
801642,India,199.24,False
39de59,France,210.57,False
39de58,France,185.92,False
ab6fdd,United States,218.27,False
801645,India,238.87,False
801643,India,0.0,True
39de51,France,234.68,False
39de50,France,232.15,False
acdfb5,United States,197.55,False
a4d86a,United States,177.54,False
80163d,India,208.11,False
398e7d,France,53.04,False
801649,India,102.15,False
a3687e,United States,243.12,False
acdfa5,United States,77.24,False
a3b88e,United States,246.96,False
a3ebe2,United States,53.38,False
acdfa3,United States,229.22,False
a09263,United States,116.42,False
80160b,India,238.63,False
a3a578,United States,0.77,True
801616,India,3.34,True
a22235,United States,62.58,False
801619,India,188.11,False
abacb6,United States,228.29,False
a0925d,United States,85.19,False
801621,India,233.74,False
a5d203,United States,68.87,False
acdfd3,United States,83.97,False
aaf656,United States,230.85,False
acdfae,United States,199.47,False
a9a0f1,United States,415.86,False
801627,India,241.08,False
a7384e,United States,56.08,False
801625,India,233.17,False
a0e250,United States,225.54,False
488252,Poland,209.47,False
39de46,France,216.55,False
39de45,France,127.28,False
407a05,United Kingdom,225.35,False
39de48,France,230.33,False
a2ded8,United States,72.62,False
39de47,France,202.61,False
407a06,United Kingdom,232.02,False
a34215,United States,215.63,False
39de40,France,238.28,False
80161e,India,139.67,False
39de42,France,221.08,False
39de41,France,172.43,False
39de44,France,227.77,False
80166c,India,246.87,False
44028c,Austria,230.71,False
a2228b,United States,208.61,False
ac232e,United States,113.7,False
511189,Estonia,86.17,False
ae6306,United States,134.97,False
abacd2,United States,3.34,True
470bec,Hungary,48.37,False
4acb01,Sweden,229.62,False
4acb02,Sweden,153.0,False
4acb04,Sweden,244.24,False
51116f,Estonia,240.6,False
488242,Poland,39.67,False
4bc8c6,Turkey,256.77,False
4bc8c5,Turkey,230.35,False
801681,India,241.16,False
4bc8c3,Turkey,151.13,False
ab0361,United States,122.6,False
80167d,India,247.18,False
80167f,India,162.55,False
e0b1d6,Argentina,42.38,False
e8024a,Chile,163.33,False
abf008,United States,211.13,False
a60505,United States,49.58,False
511172,Estonia,222.17,False
a5f808,United States,104.45,False
801696,India,212.83,False
801697,India,202.06,False
aae34c,United States,239.59,False
ae1fcd,United States,74.71,False
a830e5,United States,66.53,False
4bc8d5,Turkey,185.91,False
4bc8d6,Turkey,229.96,False
4bc8d4,Turkey,102.4,False
4bc8d2,Turkey,242.64,False
3442cb,Spain,0.0,True
ac234f,United States,221.15,False
a35592,United States,233.67,False
ac101f,United States,244.0,False
471efa,Hungary,244.95,False
47b217,Norway,244.01,False
471efb,Hungary,223.46,False
acdffc,United States,245.89,False
801659,India,34.47,True
47887e,Norway,147.13,False
471eff,Hungary,220.75,False
3d7f7c,Germany,57.52,False
471efd,Hungary,225.56,False
801662,India,159.52,False
ac3688,United States,218.51,False
00b231,South Africa,158.45,False
4bc8a7,Turkey,137.27,False
a3b85b,United States,45.54,False
00b230,South Africa,215.15,False
ad3006,United States,227.58,False
44029f,Austria,183.25,False
80165f,India,238.22,False
aae377,United States,205.11,False
80165d,India,228.41,False
e8026d,Chile,164.03,False
3932ee,France,40.8,False
a40be2,United States,234.9,False
ae6315,United States,139.48,False
a9a0b6,United States,66.49,False
a3689e,United States,5.4,True
a3556f,United States,228.23,False
adffcf,United States,232.29,False
801673,India,10.29,True
abf025,United States,158.53,False
aae36f,United States,148.23,False
a3b86c,United States,212.54,False
a4c527,United States,241.1,False
801670,India,220.06,False
a65eaa,United States,42.07,False
801671,India,226.06,False
505f15,Slovakia,231.89,False
aa8075,United States,191.8,False
adda1e,United States,216.33,False
abad94,United States,11.32,True
4acb43,Sweden,174.35,False
4acb42,Sweden,9.77,True
4acb45,Sweden,182.18,False
a4b294,United States,201.04,False
a7bbe9,United States,234.43,False
440261,Austria,60.78,False
adda23,United States,10.8,True
a9a216,United States,27.23,False
accd69,United States,260.62,False
aae1ea,United States,233.95,False
a9523e,United States,92.74,False
3455d7,Spain,208.85,False
a7124e,United States,160.06,False
e0b299,Argentina,54.57,False
4acb59,Sweden,243.04,False
44023f,Austria,222.3,False
3c5ee8,Germany,241.21,False
3c5ee7,Germany,221.58,False
4bc8e1,Turkey,232.48,False
3c5ee6,Germany,232.6,False
46b83a,Greece,230.86,False
3c5ee9,Germany,232.74,False
0d11e9,Mexico,242.22,False
4bc8cf,Turkey,134.98,False
4bc8cd,Turkey,231.08,False
a71291,United States,210.2,False
4acb23,Sweden,263.87,False
4bc8cb,Turkey,222.1,False
adda48,United States,62.87,False
aded77,United States,200.38,False
0d11de,Mexico,65.82,False
3c5ee3,Germany,258.19,False
0d11f1,Mexico,45.97,False
ad41ed,United States,219.24,False
3c5ef6,Germany,223.5,False
a127bb,United States,250.64,False
a7126a,United States,141.62,False
46b82d,Greece,158.76,False
46b82b,Greece,193.28,False
3c5eec,Germany,234.78,False
80169c,India,231.09,False
3c5eeb,Germany,234.05,False
46b82f,Greece,226.98,False
3c5eea,Germany,237.4,False
a5d28c,United States,6.69,True
440271,Austria,57.53,False
a8a87e,United States,221.25,False
e80241,Chile,14.92,True
a88bee,United States,0.0,False
a8dbbd,United States,201.23,False
440219,Austria,260.45,False
a39d41,United States,73.7,False
c07bbe,Canada,145.25,False
46b832,Greece,229.55,False
505df4,Slovakia,70.2,False
c0487a,Canada,40.52,False
46b835,Greece,129.87,False
46b836,Greece,225.9,False
44020c,Austria,215.52,False
a8452b,United States,52.83,False
